1,6
1,34
1,48
2,3
2,66
2,67
3,2
3,4
4,3
4,67
5,6
5,12
5,15
5,27
5,34
6,1
6,5
6,17
6,48
6,50
7,67
7,72
8,9
8,69
8,71
9,8
10,11
10,49
11,10
11,13
11,19
11,49
11,53
12,5
12,18
12,27
13,11
13,51
14,15
14,18
14,30
14,31
14,32
14,45
14,46
15,5
15,14
15,16
15,17
15,18
15,20
15,31
15,50
15,55
16,15
16,20
16,49
17,6
17,15
17,50
18,12
18,14
18,15
19,11
19,20
19,49
19,54
20,15
20,16
20,19
20,54
21,22
21,24
22,21
22,25
23,31
23,41
23,55
24,21
24,25
24,61
25,22
25,24
25,63
26,39
26,42
26,44
27,5
27,12
27,28
28,27
29,34
29,35
30,14
30,37
30,45
31,14
31,15
31,23
31,38
31,41
31,43
31,55
32,14
33,34
34,1
34,5
34,29
34,33
34,47
34,48
35,29
35,36
36,35
37,30
38,31
38,43
39,26
40,42
41,23
41,31
41,43
41,55
41,56
42,26
42,40
42,44
43,31
43,38
43,41
44,26
44,42
45,14
45,30
46,14
47,34
48,1
48,6
48,34
49,10
49,11
49,16
49,19
50,6
50,15
50,17
51,13
51,53
52,57
53,11
53,51
53,54
54,19
54,20
54,53
55,15
55,23
55,31
55,41
55,59
56,41
56,58
56,60
56,62
57,52
57,59
58,56
59,55
59,57
60,56
60,62
60,64
61,24
61,63
61,65
62,56
62,60
63,25
63,61
64,60
65,61
66,2
66,73
67,2
67,4
67,7
67,72
68,70
69,8
69,71
70,68
71,8
71,69
72,7
72,67
73,66
